놀라다,"to be surprised, astonished, startled",,,,[sound:tobesurprised.mp3],457
힘,"power, strength, force, capability",,,,,458
잡지,"magazine, journal",,,雜誌,,459
계시다,to exist (hon.),,,,[sound:toexisthon.mp3],460
남편,husband,,,男便,[sound:husband.mp3],461
별로,not particularly,,,別-,[sound:notparticularly.mp3],462
파티,party (social gathering),,,,[sound:party.mp3],463
화나다,"to be angry, mad",,,火-,,464
구월,September,,,九月,,465
산,mountain,,,山,,466
빨갛다,to be red,,,,,467
아래,under,,,,,468
교실,classroom,,,敎室,[sound:classroom.mp3],469
잘못하다,to make a mistake,,,,[sound:tomakeamistake.mp3],470
왼쪽,left side,,,,[sound:left.mp3],471
코트,coat,,,,[sound:coat.mp3],472
따르다,"to follow<div><img src=""follow.jpeg"" /></div>",,,,,473
겨울,winter,,,,,474
모자,"hat, cap;<div>mother and son</div>",,,"帽子,&nbsp;母子",[sound:hat.mp3],475
시월,October,,,十月,,476
필요하다,to need,,,必要,,477
키,height,,,,,478
청바지,blue jeans,,,靑--,[sound:bluejeans.mp3],479
고맙다,"to be thankful, grateful",,,,[sound:tobethankful.mp3],480
물건,"thing, object, article",,,物件,,481
이렇게,"like this, in this way",,,,[sound:likethis.mp3],482
소금,salt,,,,,483
끝내다,to finish (something),,,,[sound:toend (1).mp3],484
수학,mathematics;<div>study</div>,,,"數學,&nbsp;修學",[sound:math.mp3],485
뒤,behind,,,,[sound:behind.mp3],486
편의점,convenience store,,,便宜店,[sound:conveniencestore.mp3],487
유명하다,to be famous,,,有名,[sound:tobefamous.mp3],488
우산,umbrella,,,雨傘,[sound:umbrella.mp3],489
저희,"we, our",,,,,490
들어오다,"to come in, enter",,,,[sound:tocomein.mp3],491
아저씨,mister,,,,[sound:mister.mp3],492
안경,"glasses, eyeglasses",,,眼鏡,,493
행복하다,to be happy,,,幸福,,494
값,"price, cost",,,,,495
동안,"during, interval",,,,,496
뜨겁다,to be hot (regarding objects),,,,[sound:tobehot (1).mp3],497
식사,meal,,,食事,[sound:meal.mp3],498
오른쪽,right side,,,,,499
거실,living room,,,居室,,500
설명하다,to explain,,,說明,,501
불,fire;<div>light</div>,,,,[sound:fire (1).mp3],502
그러니까,"therefore, consequently",,,,,503
아줌마,middle aged woman,,,,,504
아름답다,to be beautiful,,,,,505
십일월,November,,,十一月,,506
외국,foreign country,,,外國,,507
아내,wife,,,,[sound:wife.mp3],508
나다,"<div>to appear, come out;</div>",,,,[sound:toappear.mp3],509
역,train station;<div>part in a play</div>,,,"驛,&nbsp;役",[sound:station.mp3],510
도시,city,,,都市,,511
드리다,"to give, offer (hon.)<div><img src=""give.jpeg"" /></div>",,,,,512
얼굴,face,,,,,513
인사,greetings,,,人事,,514
거짓말,lie,,,,[sound:lie.mp3],515
무겁다,to be heavy,,,,[sound:tobeheavy.mp3],516
모든,all; every,,,,,517
공,ball,,,,,518
날짜,date (in a calendar),,,,[sound:date.mp3],519
구경하다,"to go sightseeing, look around;<div>to see, watch (a show, movie, play, sports game etc.)</div>",,,,[sound:towatch.mp3],520
소리,"sound, noise",,,,,521
앞으로,from now on,,,,,522
들다,"to hold<div>to pick up</div><div><img src=""pick-up-and-hold.jpg"" /></div>",,,,[sound:tobeamong.mp3],523
팔,arm,,,,[sound:arm.mp3],524
